,block_mean,block_std,energy_mean,energy_std,greens_function_mean,greens_function_std,gemm_operations_mean,gemm_operations_std,pseudo_energy_mean,pseudo_energy_std,extra_mean,extra_std,pop_control_mean,pop_control_std,setup_mean,setup_std,vhs_mean,vhs_std,force_bias_mean,force_bias_std,reortho_mean,reortho_std
naph,3.8703054887999997,0.0057613454926955954,0.5327681667,0.0005491881772108922,0.0034332189,1.3052364310729333e-05,0.0327035698,7.843429870605756e-05,0.0012320717999999998,1.1860794996776404e-05,9.292299999999999e-06,4.659341989785445e-07,1.6599300000000002e-05,8.017164987977011e-07,5.0664799999999996e-05,2.5955294899756586e-07,0.0341971833,0.00018935092368876683,0.057985658100000004,7.530226243089145e-05,0.0116912554,1.9541258626585627e-05
anth,10.0825275081,0.009058462250626113,1.7959042289000002,0.0007475084866813068,0.0073808293999999995,3.349298079432298e-05,0.07930825989999998,8.175941260314291e-05,0.0027427909000000005,3.023086600902391e-05,9.804600000000001e-06,5.057384479924161e-07,1.7674e-05,6.066071399367325e-07,9.48275e-05,9.044853969707489e-07,0.08638594809999998,0.00020308032596293396,0.1489271921,0.00019168385161999553,0.0214030255,9.717669035119001e-05
tetra,20.8495326925,0.018556222793918206,4.5710726727,0.005929243417089076,0.0127502868,9.168509023439373e-05,0.1439944413,0.00026560628289382804,0.0044029882,2.355484834168967e-05,1.01806e-05,3.4615128356126474e-07,1.94387e-05,6.342836817141753e-07,0.00015737660000000002,2.5910056048655053e-06,0.1743840772,0.0002048207025619129,0.3050459122,0.00056206107687843,0.034158468399999996,8.251380210499457e-05
penta,39.2530728337,0.026039376960754746,9.7046785372,0.002263807014803466,0.020315988099999998,0.00023261406548398796,0.24814901089999997,0.000217685471108334,0.0075956044,2.5277690344561896e-05,1.0352600000000001e-05,4.64158785091673e-07,1.9533199999999998e-05,8.606486959135983e-07,0.0002467461,3.0456891010081706e-06,0.32599731639999996,0.0003576265416573865,0.5635314929,0.0011549314352939553,0.056080651599999996,0.00017456224911296776
hexa,66.1753713093,0.9857058525395906,18.6973407955,0.017479978280425197,0.030314576,0.00038892003811980593,0.3843345579,0.00158131504035522,0.011216712200000001,3.21591828420232e-05,1.05295e-05,6.083667114130716e-07,2.0814900000000003e-05,1.2993574865208483e-06,0.00036540140000000004,4.4206308297949264e-06,0.538061206,0.0011377612234987305,0.9007085833999999,0.001813288216017588,0.08061224650000001,0.00022226048256906446
hepta,103.18977685090002,0.6510628628304617,32.0923049279,0.024905153172117757,0.0450679852,0.0004435256695011015,0.5648774500999999,0.0007476548468238646,0.0173055161,6.585830779694934e-05,1.06481e-05,3.7878239135419175e-07,2.30076e-05,1.0727316325882981e-06,0.000767922,0.0005725229229318635,0.807683684,0.001953318739340996,1.3652267083,0.002135693795875877,0.1164040444,0.0002800958272179969
