,block_mean,block_std,energy_mean,energy_std,greens_function_mean,greens_function_std,gemm_operations_mean,gemm_operations_std,pseudo_energy_mean,pseudo_energy_std,extra_mean,extra_std,pop_control_mean,pop_control_std,setup_mean,setup_std,vhs_mean,vhs_std,force_bias_mean,force_bias_std,reortho_mean,reortho_std
naph,23.4798354155,0.944442772364261,2.3776068631999996,0.14009719110136895,0.0071321875000000005,4.298270140740075e-05,0.17067033299999998,0.00039610183932698773,0.0025223197999999997,4.552430541248145e-05,1.05684e-05,6.574268358109853e-07,1.8926999999999997e-05,7.671736005190308e-07,0.0003226433,4.009329621160018e-06,0.3689121888,0.0016456619046218836,0.27474669850000005,0.0010879879371535359,0.023707472599999994,7.234565899163043e-05
anth,61.2328839036,0.72530100113203,7.896156779099999,0.010354061347744907,0.015235035500000002,0.0001952506580761423,0.41495618590000005,0.0007450867453879191,0.0054888212,2.34733419142274e-05,1.01999e-05,5.412726669618555e-07,2.02773e-05,5.934254703742402e-07,0.0006910233,5.523026908619336e-06,0.9697044361,0.002994385002411962,0.7000521124000001,0.0015713259365700632,0.0477880869,9.505802592621466e-05
tetra,126.3676470677,0.5081934009154239,20.2431039855,0.01756635593861151,0.026692971399999998,0.0004225654395349642,0.7237397978,0.0021891555436272642,0.008692341900000001,1.2511530889987596e-05,1.8513700000000002e-05,2.461799061684587e-05,2.36812e-05,1.2252302096612974e-06,0.0012253580000000002,2.270116827145442e-05,1.9512074620999997,0.0027425870127934446,1.4995274278,0.002307365158066062,0.07893779669999999,0.0002979730683785031
penta,230.2307264818,1.2174502570878776,44.9838902905,0.12455591529396544,0.0468142658,0.006363992720098231,1.3047630999000002,0.005012999006891311,0.015475578,2.9934852437325627e-05,1.15085e-05,8.20857173934662e-07,2.7117899999999997e-05,3.5882749321768665e-06,0.0020468389999999995,4.3966175097075164e-05,3.4622864186,0.006701102074762408,2.5272813035999997,0.012914489376423555,0.13299423680000003,0.0003709636871161974
hexa,381.2081550104,1.2655188140858569,81.93649907720001,0.13264912527486541,0.070879914,0.0062896278643150075,2.0754700961,0.007539842149998446,0.023511429300000004,9.483557001117484e-05,1.2245500000000002e-05,8.049868528947126e-07,3.4017500000000004e-05,7.762311615176958e-06,0.0033481415,0.00034105414032810746,5.633278170700001,0.025753411848148475,4.0886983328,0.03385311033519902,0.19268852549999999,0.0007047228010107956
hepta,599.5682572184999,2.2526663734034305,142.57719492910002,0.2790795717066978,0.11586922029999999,0.0008210505057909452,3.312575990399999,0.01714372439056456,0.0374828075,0.00013940345499883225,1.22199e-05,4.506189447119743e-07,4.9109e-05,1.4701597849666998e-05,0.004736894899999999,0.00022759737748803986,8.479700843900002,0.04063160821125765,6.233273561399999,0.05780874278741572,0.2813055877,0.0009311544019626617
