,setup_mean,setup_std,block_mean,block_std,propagation_mean,propagation_std,vhs_mean,vhs_std,greens_function_mean,greens_function_std,overlap_mean,overlap_std,weight_update_mean,weight_update_std,gemm_operations_mean,gemm_operations_std,barrier_mean,barrier_std,energy_mean,energy_std,reortho_mean,reortho_std,pop_control_mean,pop_control_std,communication_mean,communication_std,non_communication_mean,non_communication_std
naph,27.908126199999998,3.879531257249154,18.7403896,0.12027668356668388,0.6411492000000001,0.0014464372437129878,0.3654762,0.0011311377900149993,0.007702199999999999,5.9838950525556524e-05,0.0031903999999999995,2.6273560854973603e-05,0.00019759999999999998,2.6076809620810634e-06,0.14862219999999998,0.00019628728945094337,3e-06,0.0,2.6351012,0.09810370052755396,0.015068000000000002,7.973079706111059e-05,0.00020999999999999998,2.1213203435596462e-06,8.3e-05,2.0286832072937253e-05,0.00010219999999999999,8.366600265340732e-07
anth,100.7515266,3.9472793322463002,47.7837962,0.12054030707485247,1.6287449999999999,0.0034091559805911184,0.9364258,0.0021272098392025106,0.015286,7.41215218408259e-05,0.0072284,0.00016444543167871829,0.00020360000000000002,2.0736441353327663e-06,0.3682124,0.0006661976433461727,3e-06,0.0,6.920928399999999,0.053611756549286765,0.0286028,0.00013370003739715256,0.00021280000000000002,1.9235384061671294e-06,8.44e-05,2.1747030448622943e-05,0.00010499999999999999,1.5811388300841915e-06
tetra,179.25316380000004,6.602899445597605,96.6423544,0.23289786345262986,3.1594532,0.007164981556152135,1.9173434,0.005801156203723505,0.024907000000000002,0.00010819195903578028,0.0114786,8.71710961270994e-05,0.00020820000000000002,2.8635642126552738e-06,0.6074056,0.001000426309130275,3e-06,0.0,17.4183092,0.07079832392578195,0.0472854,0.00010017384888282955,0.0002222,4.381780460041335e-06,8.88e-05,2.144139298957354e-05,0.000109,3.3911649915626365e-06
penta,354.4521296,75.15321927229509,178.166146,0.39304106424710583,5.640741,0.012891927163927171,3.3967891999999997,0.010479237863509027,0.0399898,0.00013551273002932384,0.0208814,4.9033661906899106e-05,0.00021280000000000002,2.167948338867874e-06,1.1046278,0.0015907098101161801,3e-06,0.0,36.733844399999995,0.09332813291982181,0.082494,0.0008867651887619402,0.00022620000000000002,2.387467277262671e-06,9.04e-05,1.9242314483103814e-05,0.0001086,1.6733200530681528e-06
hexa,602.106759,109.42809205177552,288.06788960000006,0.6634126383426754,9.0605684,0.027762935495008103,5.4802178,0.010718755580756698,0.0583798,0.0003639776092014452,0.027516999999999996,4.842520005121343e-05,0.00021780000000000004,3.114482300479493e-06,1.7397588000000002,0.019116098391146634,3.4e-06,5.477225575051659e-07,60.9607484,0.14780153118895678,0.11830579999999999,0.0002822484720950706,0.0002474,1.1760102040373639e-05,0.00010109999999999999,1.5687574701017363e-05,0.0001148,4.147288270665543e-06
hepta,1052.8305098,64.98526870975692,443.4512216,1.0226437653123985,13.535001,0.03593944754027263,8.194757000000001,0.024741983903882846,0.08615980000000001,0.0004097831133660824,0.041443,0.0001809295442983259,0.00022360000000000001,3.7815340802378063e-06,2.640733,0.007203754784832693,5.199999999999999e-06,4.4721359549995777e-07,104.1562242,0.22578064831313627,0.1836932,0.0007607573200436547,0.0002636,9.710818709048163e-06,0.0001088,1.3431306712304655e-05,0.0001202,2.167948338867882e-06
