,setup_mean,setup_std,block_mean,block_std,propagation_mean,propagation_std,vhs_mean,vhs_std,greens_function_mean,greens_function_std,overlap_mean,overlap_std,weight_update_mean,weight_update_std,gemm_operations_mean,gemm_operations_std,barrier_mean,barrier_std,energy_mean,energy_std,reortho_mean,reortho_std,pop_control_mean,pop_control_std,communication_mean,communication_std,non_communication_mean,non_communication_std
naph,9.115678800000001,2.5216651777930785,4.146924199999999,0.18540082045719194,0.0982388,0.0002206358991642087,0.035081,6.635133759013498e-05,0.0048152,1.7469974241537973e-05,0.0017507999999999998,1.4272350892547489e-05,0.0001918,1.3038404810405262e-06,0.0314624,0.0001451526782391542,2.8e-06,4.47213595499958e-07,1.6474108,0.18568062026959084,0.0084712,2.8943047524405683e-05,0.0002046,1.9493588689617875e-06,8.019999999999998e-05,2.06870866860357e-05,9.98e-05,1.3038404810405328e-06
anth,14.165579600000001,0.2519174821549705,8.301663999999999,0.06692687467676953,0.24058599999999997,0.0006126169276146383,0.0860358,0.0004124932726724163,0.0087576,4.915587452177035e-05,0.0031715999999999992,0.00011003090474952938,0.000198,4.062019202317982e-06,0.07769200000000001,0.0004246316050413588,3e-06,0.0,2.210397,0.05630240899375442,0.0150824,6.474025023121199e-05,0.0002078,4.2071367935925265e-06,8.190000000000001e-05,2.148617126329294e-05,0.00010219999999999999,2.6832815729997456e-06
tetra,46.4795368,1.3973588381735382,15.4606304,0.058757265306513984,0.45226179999999994,0.0017764404577694098,0.1731434,0.0005913592816554012,0.013298599999999999,0.00014418495067100446,0.0054800000000000005,5.4470175325585015e-05,0.00019879999999999998,2.863564212655276e-06,0.13033460000000002,0.0020233730007094583,3e-06,0.0,4.0424732,0.02897845302461817,0.022081800000000002,7.333962094257231e-05,0.0002084,2.0736441353327802e-06,8.269999999999999e-05,2.1633564456906103e-05,0.00010319999999999999,8.366600265340732e-07
penta,76.59510759999999,0.7737735378883787,28.759319800000004,0.10032268353268883,0.8090316,0.0043167742354679696,0.3151812,0.00046861092603566335,0.020844599999999998,7.694348575415523e-05,0.008811,5.642251323718217e-05,0.0002034,2.0736441353327663e-06,0.23493880000000003,0.0037689998275404566,3e-06,0.0,8.3505454,0.012935968587623782,0.0363496,0.00013921494172681456,0.0002136,2.7928480087537804e-06,8.45e-05,2.1644860821913366e-05,0.00010499999999999999,1.4142135623730983e-06
hexa,94.1402942,21.355625935082085,47.014537000000004,0.3197770689191147,1.2969306,0.01106890497294115,0.5141502000000001,0.0022432453499338727,0.029904399999999998,0.00011834399013046673,0.013117799999999999,4.856644932461126e-05,0.00020500000000000002,4.301162633521313e-06,0.3627176,0.010976995322035972,3e-06,0.0,14.3304906,0.05103733052678201,0.051909000000000004,0.0004031321123403575,0.00021480000000000002,1.4832396974191286e-06,8.51e-05,2.182989794855772e-05,0.0001058,8.366600265340731e-07
hepta,106.14967340000001,15.634104190592414,74.8267286,0.11304124999883823,1.979842,0.0031501722968752307,0.7985312,0.001624832206721662,0.043662999999999993,0.00012672608255603828,0.021532600000000002,0.0002544165875095419,0.00021059999999999997,1.673320053068157e-06,0.5445754,0.0005981929454615608,3.2e-06,4.472135954999578e-07,24.948326200000004,0.08202795480017824,0.07621700000000001,0.00019613770672667616,0.0002196,3.6469165057620974e-06,8.71e-05,2.020148509392317e-05,0.0001062,1.923538406167138e-06
