Ndets,ETotal_ac,ETotal_error_ac,ETotal_nsamp_ac,ac
10,,,,
100,,,,
1000,,,,
10000,-3457.706141,0.0003941125599,3777,2
100000,-3457.712178,0.00045025112,2598,2
1000000,-3457.713072,0.001067253304,746,1
