Ndets,ETotal_ac,ETotal_error_ac,ETotal_nsamp_ac,ac
10,,,,
100,,,,
1000,,,,
10000,-3457.753306,0.0003753528896,3792,2
100000,-3457.7556,0.0004161919126,2743,2
1000000,-3457.756223,0.0009624796601,874,1
