Ndets,ETotal_ac,ETotal_error_ac,ETotal_nsamp_ac,ac
10,-3456.7693,0.0004,4438,4
100,-3456.7744,0.0003,6212,3
1000,-3456.7782,0.0002,5843,3
10000,-3456.7796,0.0002,1910,4
100000,-3456.7822,0.0004,431,4
1000000,-3456.7833,0.0007,176,2
