Ndets,ETotal_ac,ETotal_error_ac,ETotal_nsamp_ac,ac
10,-3457.402591,0.000558770923,4503,3
100,-3457.426605,0.000498871955,4284,3
1000,-3457.427803,0.0003240060204,6635,2
10000,-3457.433355,0.0004304069322,2118,3
100000,-3457.439261,0.0005374639344,1655,2
1000000,-3457.440192,0.0008123698538,637,2
