Ndets,ETotal_ac,ETotal_error_ac,ETotal_nsamp_ac,ac
10,-542.1239,0.0002,6707,7
100,-542.1224,0.0002,7833,6
1000,-542.1302,0.0001,7835,5
10000,-542.1314,0.0001,2455,6
100000,-542.1322,0.0003,365,4
1000000,-542.1331,0.0003,332,2
