Ndets,ETotal_ac,ETotal_error_ac,ETotal_nsamp_ac,ac
10,,,,
100,,,,
1000,,,,
10000,-3456.837691,0.0003007697009,1127,4
100000,-3456.842589,0.0002525630447,1452,4
1000000,-3456.843161,0.0004854977089,437,2
