Ndets,ETotal_ac,ETotal_error_ac,ETotal_nsamp_ac,ac
10,,,,
100,,,,
1000,,,,
10000,-3456.880681,0.0002541973453,1512,3
100000,-3456.883061,0.0003149358788,734,4
1000000,-3456.883383,0.0005208747598,344,2
