Ndets,ETotal_ac,ETotal_error_ac,ETotal_nsamp_ac,ac
10,-542.3955186,0.0002700374566,10879,3
100,-542.3937464,0.0002313767382,10298,3
1000,-542.4010952,0.000152948024,8505,3
10000,-542.402846,0.0001900672388,3616,3
100000,-542.4036335,0.0005420410251,589,2
1000000,-542.4044505,0.0005790432775,524,1
