Ndets,ETotal_ac,ETotal_error_ac,ETotal_nsamp_ac,ac
10,-542.322187,0.0002417559565,10259,4
100,-542.3431512,0.000194523947,13437,3
1000,-542.3453847,0.0001542583712,11922,3
10000,-542.3500991,0.0002165720307,4392,3
100000,-542.3546145,0.0006607899788,464,3
1000000,-542.3555658,0.0009409974292,373,1
