,block_mean,block_std,energy_mean,energy_std,greens_function_mean,greens_function_std,gemm_operations_mean,gemm_operations_std,pseudo_energy_mean,pseudo_energy_std,extra_mean,extra_std,pop_control_mean,pop_control_std,setup_mean,setup_std,vhs_mean,vhs_std,force_bias_mean,force_bias_std,reortho_mean,reortho_std
naph,1.0094181240000002,0.004426466057714679,0.1003172444,0.0005851589353742267,0.0041427792,7.144918452998504e-06,0.0202367736,8.928977075118925e-05,0.0007463118,4.944260834543424e-06,0.0001560694,1.5131032020321707e-06,0.0010257794,6.224855283458413e-06,6.238580000000001e-05,3.009507883359003e-06,0.0025183816,2.0383723408641437e-06,0.0020023239999999998,2.0007020017983283e-06,0.0232684736,0.00019250632272551477
anth,1.6190180274,0.002653915075987028,0.2668707426,0.000591292973178962,0.006907615000000001,8.430219836991182e-06,0.026025179,7.026926738980585e-05,0.0009151144,3.927298728133627e-06,0.00015544299999999998,1.0532570911225862e-06,0.001026548,1.0522683094154243e-05,0.000110207,4.801937265312827e-06,0.0061499566,8.650201153730267e-07,0.0047890601999999996,1.3917901063020639e-06,0.035266262799999996,0.0001249523919166824
tetra,2.5800825900000004,0.0035243444879772697,0.6125988222000001,0.000424564389772288,0.010723181600000001,1.072774038649336e-05,0.0309585078,9.98175116635348e-05,0.0011515462,3.810674310407539e-06,0.0001598258,1.6094995184839291e-06,0.0010335226,6.991144384147753e-06,0.0001959004,7.1826104098718845e-06,0.0125461046,3.1037646979108704e-06,0.0101915804,1.125083576006716e-05,0.052795952,9.700670037167328e-05
penta,4.4495480836,0.0053158246138986865,1.2937879386,0.0002648450571934449,0.016402289,5.583947886576542e-06,0.048913882,0.00014932867803606962,0.0018069576,4.3144116400732425e-06,0.00016905620000000002,2.0692343269915095e-06,0.0010453913999999998,1.2050794052675519e-05,0.0003045862,1.3247473521392678e-05,0.022087248599999998,7.7744328603442e-06,0.0176418526,4.170044759951486e-06,0.0808299754,0.00025280552713953904
hexa,6.823960391200001,0.013660699553933715,2.358617924,0.0008789128183124527,0.0227564558,2.9312078290357693e-05,0.0612828496,0.00043051702963622717,0.0022577532,6.3439338505379685e-06,0.0001625656,2.229632660327706e-06,0.0010402410000000001,6.7292544906549834e-06,0.0004594084,3.7443610099721964e-05,0.036566051599999996,1.1751588373492244e-05,0.028748926600000002,1.6059623370427953e-05,0.11570125140000001,0.0003578924380994926
hepta,10.499118849800002,0.009079832734770279,4.0297933264,0.0021563094224411627,0.0315530026,4.0451542193098743e-05,0.08770583020000002,0.00038194645657434775,0.0035896488000000002,8.021829136799137e-06,0.00016818980000000001,3.006111558142844e-06,0.0010384384,1.1517900754911875e-05,0.0005963846,2.1593242977839168e-05,0.05543858859999999,1.6592414540987193e-05,0.0432854568,3.716581297644424e-05,0.1620666906,0.0002737233526670693
