,setup_mean,setup_std,block_mean,block_std,propagation_mean,propagation_std,vhs_mean,vhs_std,greens_function_mean,greens_function_std,overlap_mean,overlap_std,weight_update_mean,weight_update_std,gemm_operations_mean,gemm_operations_std,barrier_mean,barrier_std,energy_mean,energy_std,reortho_mean,reortho_std,pop_control_mean,pop_control_std,communication_mean,communication_std,non_communication_mean,non_communication_std
naph,5.6412264,1.0811030632970662,0.889223,0.0031953160250591697,0.0196156,0.00012077375542724488,0.0024262,4.147288270665614e-06,0.0031560000000000004,3.7980258029665856e-05,0.0022365999999999996,4.454548237475939e-05,0.0005402,2.6338185207033555e-05,0.0081946,3.526754882324482e-05,1.3999999999999997e-06,5.47722557505166e-07,0.16379660000000001,0.0003764230333016292,0.0464702,3.694861296449376e-05,0.0004936000000000001,2.4213632523849046e-05,0.0001559,9.937297866567596e-05,0.0002498,1.3217412757419671e-05
anth,9.6129368,2.3450589171956215,1.3993468,0.0035054281050964325,0.028333200000000003,0.00012326678384706974,0.0046318,7.85493475466228e-06,0.0031257999999999993,4.680491427190099e-05,0.0022031999999999998,4.361994956439068e-05,0.000523,3.4641016151377445e-06,0.013086999999999998,1.1467344941179687e-05,1.2e-06,4.472135954999579e-07,0.42537339999999996,0.0012328898166503025,0.0525904,5.409528630111803e-05,0.0004967999999999999,1.1903780911962398e-05,0.00016109999999999999,9.596926591362465e-05,0.00025199999999999995,6.164414002968981e-06
tetra,16.1559896,4.701892740756991,2.331041,0.0035728471139975016,0.043100599999999996,0.0001192992036855226,0.0088782,1.032956920689357e-05,0.0032804,3.048442225137303e-05,0.0022268,3.118813877101358e-05,0.0005366,1.9629060089571256e-05,0.021049,1.993740203737625e-05,2e-06,0.0,0.8856059999999999,0.0014164646130419031,0.0730146,3.0761989532537526e-05,0.0005239999999999999,1.528070678993614e-05,0.0001707,9.596417155492056e-05,0.0002616,7.700649323271374e-06
penta,27.440043600000003,8.58298494165091,4.0741244,0.004407344018794163,0.07180299999999999,0.00018982491933358287,0.015100999999999998,2.1954498400100613e-05,0.0047566,9.449867723942122e-06,0.002373,5.2739927948377065e-05,0.0005804,2.85534586346383e-05,0.036871799999999996,4.9565108695532674e-05,2e-06,0.0,1.7937116,0.0013679668490135192,0.09644680000000001,0.00015447556441068648,0.000574,3.049590136395384e-05,0.0001862,0.00010246061573979427,0.000283,1.3910427743243546e-05
hexa,43.210329,13.752313779779607,6.251585799999999,0.005587877879839258,0.1043566,0.00010956413646809635,0.024026600000000002,1.7052858997834745e-05,0.0065363999999999995,7.300684899377622e-06,0.0027676,2.809448344426353e-05,0.0006209999999999999,1.0839741694339383e-05,0.05224139999999999,4.0537636832947557e-05,2e-06,0.0,3.0658412,0.002840170100539662,0.11470100000000001,4.856439024635145e-05,0.0006156,3.35454915003492e-05,0.0001984,0.00010975649816247278,0.000302,1.6263455967290597e-05
hepta,66.4353714,21.10539270144051,9.791025200000002,0.006487644233463803,0.15863519999999998,0.00019452686189829667,0.035332199999999994,3.152300747073554e-05,0.0096844,7.797435475847172e-06,0.0036808,1.4720733677368053e-05,0.0006328,2.865658737533133e-05,0.0835656,3.550774563387505e-05,2e-06,0.0,5.1485836,0.0038433407733378688,0.1346564,0.00010291404180188496,0.0006068,2.2264321233758756e-05,0.00019560000000000004,0.00010796213327932263,0.0002978,1.0232301793829195e-05
